iter	Passed	Remaining
0	841	209650
1	1519	188478
2	2224	183115
3	2918	179497
4	3675	180085
5	4413	179479
6	5170	179499
7	5922	179165
8	6607	176929
9	7271	174509
10	7950	172742
11	8617	170920
12	9303	169608
13	10007	168690
14	10666	167105
15	11328	165673
16	11996	164427
17	12706	163770
18	13381	162687
19	14038	161441
20	14694	160244
21	15357	159154
22	16000	157922
23	16689	157156
24	17356	156209
25	18025	155300
26	18700	154450
27	19400	153816
28	20069	152944
29	20755	152210
30	21431	151400
31	22088	150481
32	22703	149295
33	23343	148301
34	24006	147466
35	24643	146494
36	25324	145787
37	26019	145162
38	26691	144407
39	27398	143840
40	28097	143228
41	28867	142962
42	29553	142266
43	30277	141754
44	31056	141481
45	31880	141380
46	32660	141064
47	33422	140654
48	34152	140094
49	34814	139257
50	35483	138456
51	36132	137583
52	36815	136842
53	37552	136302
54	38296	135778
55	39011	135146
56	39701	134426
57	40439	133869
58	41216	133430
59	41914	132729
60	42595	131976
61	43276	131225
62	43954	130469
63	44696	129898
64	45435	129315
65	46146	128650
66	46851	127966
67	47632	127486
68	48431	127043
69	49176	126454
70	49989	126029
71	50766	125505
72	51541	124970
73	52209	124174
74	52843	123301
75	53476	122433
76	54163	121692
77	54839	120928
78	55460	120046
79	56092	119195
80	56715	118331
81	57331	117460
82	57954	116606
83	58593	115792
84	59270	115054
85	59938	114300
86	60625	113586
87	61282	112816
88	61912	111998
89	62564	111226
90	63197	110421
91	63841	109640
92	64539	108953
93	65218	108235
94	65902	107525
95	66545	106749
96	67191	105982
97	67839	105220
98	68463	104423
99	69090	103635
100	69714	102845
101	70340	102062
102	70948	101256
103	71596	100510
104	72220	99733
105	72869	98992
106	73520	98256
107	74166	97515
108	74812	96775
109	75440	96015
110	76090	95284
111	76730	94543
112	77366	93798
113	78007	93061
114	78632	92308
115	79285	91588
116	80027	90971
117	80732	90310
118	81439	89651
119	82159	89005
120	82817	88293
121	83481	87587
122	84134	86870
123	84773	86141
124	85450	85450
125	86110	84743
126	86739	84007
127	87365	83270
128	87985	82529
129	88615	81798
130	89273	81095
131	89888	80355
132	90529	79638
133	91152	78908
134	91802	78202
135	92467	77509
136	93080	76774
137	93705	76051
138	94374	75363
139	95012	74652
140	95683	73968
141	96376	73300
142	97079	72639
143	97755	71958
144	98434	71280
145	99133	70615
146	99832	69950
147	100501	69264
148	101175	68581
149	101814	67876
150	102486	67193
151	103164	66514
152	103828	65825
153	104451	65112
154	105101	64416
155	105766	63730
156	106418	63037
157	107032	62322
158	107635	61602
159	108230	60879
160	108822	60156
161	109446	59452
162	110048	58737
163	110662	58030
164	111273	57322
165	111880	56614
166	112524	55925
167	113153	55229
168	113795	54540
169	114411	53840
170	115015	53135
171	115621	52432
172	116217	51726
173	116824	51026
174	117413	50320
175	118022	49623
176	118636	48929
177	119306	48258
178	119924	47567
179	120519	46868
180	121150	46184
181	121774	45498
182	122380	44806
183	122986	44114
184	123687	43457
185	124384	42799
186	125151	42163
187	125837	41499
188	126515	40833
189	127231	40178
190	127894	39506
191	128530	38826
192	129137	38138
193	129757	37455
194	130372	36771
195	130973	36084
196	131597	35404
197	132230	34727
198	132859	34049
199	133471	33367
200	134079	32685
201	134676	32002
202	135297	31324
203	135933	30651
204	136543	29972
205	137157	29295
206	137787	28622
207	138380	27942
208	138990	27266
209	139588	26588
210	140193	25912
211	140813	25240
212	141421	24566
213	142046	23895
214	142631	23219
215	143228	22545
216	143835	21873
217	144428	21200
218	145030	20529
219	145636	19859
220	146242	19190
221	146828	18518
222	147429	17850
223	148029	17181
224	148626	16514
225	149282	15852
226	149898	15187
227	150524	14524
228	151122	13858
229	151705	13191
230	152304	12527
231	152907	11863
232	153517	11200
233	154126	10538
234	154726	9876
235	155324	9214
236	155913	8552
237	156552	7893
238	157180	7234
239	157772	6573
240	158385	5914
241	158992	5255
242	159620	4598
243	160247	3940
244	160867	3283
245	161473	2625
246	162060	1968
247	162671	1311
248	163268	655
249	163895	0
